Mulan,Tony Bancroft/Barry Cook,Robert D. San Souci/Rita Hsiao/Chris Sanders,Pam Coats,Ming-Na Wen/Eddie Murphy/BD Wong,Adventure/Family/Animation,3/3/4/4/4/5,1998
Come and See,Elem Klimov,Ales Adamovich/Elem Klimov,Mosfilm/Belarusfilm,Aleksei Kravchenko/Olga Mironova,Drama/War/History,4/5/5,1985
Avatar,2006
